"tipo_producto","marca","nombre_comercial","denominacion_venta","rnpa",""
"42","Arcor","Durazno light","Mermelada de durazno reducida 47% en calorías libre de gluten","19004008-8",""
"42","Arcor","Frutilla","Mermelada de frutilla libre de gluten","19002367-1",""
"42","Arcor","Frutilla light","Mermelada de frutilla reducida 47% en calorías libre de gluten","19004007-0",""
"42","Arcor","Frutilla y arándanos","Mermelada de frutilla y arándanos libre de gluten","19010001",""
"42","Arcor","Membrillo","Jalea de membrillo libre de gluten ","19010409",""
"42","Arcor","Membrillo ","Dulce de membrillo libre de gluten","19010107",""
"42","Arcor","Naranja","Mermelada de naranja libre de gluten","19002376-1",""
"43","Ruca Umel","Tapas para tartas o empanadas","Tapas para empanadas o tartas. Libres de gluten. Sin TACC","16007947",""
"44","Ruca Umel","Creppes","Canelones rellenos con verduras, ricota, jamón, queso y pollo, con salsas libres de gluten. Sin TACC","16007966",""
"44","Ruca Umel","Ñoquis","Pasta fresca: ñoquis. Libres de gluten. Sin TACC","16007965",""
"46","Mamuschka","Mamuschcream","Pasta untable de avellanas libre de gluten","16009664",""
"46","Mamuschka","No registra","Turrón de guinda y mazapán bañado con chocolate con leche libre de gluten","16009657",""
"46","Mamuschka","No registra","Turrón blando con pistachos, almendras y avellanas libre de gluten","16009660",""
"46","Rapa Nui","No registra","Garrapiñadas libre de gluten","16009715",""
"46","Rapa Nui","Nucciola libre de gluten","Pasta de avellanas","16009719",""
"47","Ruca Umel","Tartas dulces","Tartas a base de frutas, ricotta, dulces, gelatina, decoradas. Libres de gluten. Sin TACC","16007945",""
"47","Ruca Umel","Tortas","Tortas a base de frutas, dulces y cremas, decoradas. Libres de gluten. Sin TACC","16007946",""
"48","Rapa Nui","Mix para helado de chocolate libre de gluten","Mix para elaborar helado sabor chocolate libre de gluten","16009730",""
"48","Rapa Nui","Mix para helado de dulce de leche libre de gluten","Mix para elaborar helado sabor dulce de leche libre de gluten","16009729",""
"48","Rapa Nui","Mix para helado de frambuesa al agua libre de gluten","Mix para elaborar helado sabor frambuesa al agua libre de gluten","16009728",""
"48","Rapa Nui","Mix para helado de frutilla al agua libre de gluten","Mix para elaborar helado de frutilla al agua libre de gluten","16009725",""
"48","Rapa Nui","Mix para helado de gianduia libre de gluten","Mix para elaborar helado de avellanas libre de gluten","16009722",""
"48","Rapa Nui","Mix para helado de limón libre de gluten","Mix para elaborar helado sabor limón al agua libre de gluten","16009726",""
"48","Rapa Nui","Mix para helado de marroc libre de gluten","Mix para elaborar helado de maní libre de gluten","16009727",""
"48","Rapa Nui","Mix para helado de sambayón libre de gluten","Mix para elaborar helado sabor sambayón libre de gluten","16009723",""
"48","Rapa Nui","Mix para helado de vainilla libre de gluten","Mix para elaborar helado sabor vainilla libre de gluten","16009724",""
"9","Chango","---","Azúcar orgánico AP (Alta Polarización) - Libre de gluten - Sin TACC","17002099",""
"9","Chango","---","Azúcar blanco refinado - Libre de gluten","17002920",""
"9","Chango","----","Azúcar común tipo A - Libre de gluten - Sin TACC","17002588",""
"9","Chango","----","Azúcar blanco refinado - Libre de gluten - Sin TACC","17002589",""
"9","Chango Premium","---","Azúcar blanco refinado - Libre de gluten","17002589",""
"9","Tabacal","---","Azúcar blanco refinado - Libre de gluten","17002590",""
"9","Tabacal","---","Azúcar común tipo ""A"" - Libre de gluten","17002591",""
"13","Gran Compra","La Serenísima","Bebida a base de yogur endulzado sabor frutilla parcialmente descremado fortificado con vitaminas A, D, ácido fólico y zinc libre de gluten","17003147",""
"13","Gran Compra","La Serenísima","Bebida a base de yogur endulzado sabor vainilla parcialmente descremado fortificado con vitaminas A, D, ácido fólico y zinc libre de gluten","17003148",""
"13","Ice Marinaro","Ice","Bebida analcohólica artificial dietética gasificada sabor uva libre de gluten","17003316",""
"13","Ice Marinaro","Ice","Bebida analcohólica artificial dietética gasificada sabor pera libre de gluten","17003327",""
"13","Marinaro Ice","----","Bebida sin alcohol gasificada dietética con el 5% de jugo de limón libre de gluten - Sin TACC","17001104",""
"13","Marinaro Ice","----","Bebida analcohólica dietética artificial gasificada sabor lima-limón libre de gluten - Sin TACC","17001978",""
"13","Marinaro Ice","----","Bebida analcohólica dietética artificial gasificada sabor pomelo rosado libre de gluten - Sin TACC","17001979",""
"13","Marinaro Ice","----","Bebida analcohólica dietética artificial gasificada sabor naranja libre de gluten - Sin TACC","17001980",""
"14","Mamuschka","Café irlandés","Chocolate con leche relleno con crema de café libre de gluten","16009627",""
"14","Mamuschka","Chocolate blanco con almendras libre de gluten","Chocolate blanco con almendras libre de gluten","16009622",""
"14","Mamuschka","Chocolate blanco con nueces libre de gluten","Chocolate blanco con nueces libre de gluten","16009629",""
"14","Mamuschka","Chocolate blanco en rama libre de gluten","Chocolate blanco en rama libre de gluten","16009612",""
"14","Mamuschka","Chocolate blanco puro libre de gluten","Chocolate blanco puro libre de gluten","16009625",""
"14","Mamuschka","Chocolate con leche con almendras libre de gluten","Chocolate con leche con almendras libre de gluten","16009623",""
"14","Mamuschka","Chocolate con leche con cereales libre de gluten","Chocolate con leche con cereales libre de gluten","16009628",""
"14","Mamuschka","Chocolate con leche en rama libre de gluten","Chocolate con leche en rama libre de gluten","16009609",""
"14","Mamuschka","Chocolate semiamargo relleno con crema de frambuesa libre de gluten","Chocolate semiamargo relleno con crema de frambuesa libre de gluten","16009626",""
"14","Mamuschka","Chocolates surtidos","Chocolates surtidos libre de gluten","16009633",""
"14","Mamuschka","Figuras de chocolate","Figuras de chocolate planas y rellenas con dulce de leche libre de gluten","16009663",""
"14","Mamuschka","Figuras surtidas","Figura de chocolate con leche, blanco y semiamargo libre de gluten","16009662",""
"14","Mamuschka","Mousse de chocolate","Bombón de chocolate con leche relleno con mousse de chocolate libre de gluten","16009614",""
"14","Mamuschka","No registra","Chocolate amargo libre de gluten","16009659",""
"14","Mamuschka","No registra","Tableta de chocolate con leche y almendras rellena con dulce de leche libre de gluten","16009661",""
"14","Mamuschka","No registra","Huevo de pascua de chocolate con leche con almendras relleno con maní bañado en chocolate leche/blanco/semiamargo libre de gluten","16009702",""
"14","Mamuschka","No registra","Huevo de pascua de chocolate con leche relleno con maní bañado en chocolate leche/blanco/semiamargo libre de gluten","16009703",""
"14","Mamuschka","No registra","Huevo de pascua de chocolate semiamargo relleno con maní bañado en chocolate leche/blanco/semiamargo libre de gluten","16009704",""
"14","Mamuschka","No registra","Huevo de pascua de chocolate blanco relleno con maní bañado en chocolate leche/blanco/semiamargo libre de gluten","16009705",""
"14","Mamuschka","No registra","Huevo de pascua de chocolate con leche con frutas secas relleno con maní bañado en chocolate leche/blanco/semiamargo libre de gluten","16009706",""
"14","Mamuschka","Tableta de chocolate blanco libre de gluten","Tableta de chocolate blanco libre de gluten","16009611",""
"14","Mamuschka","Tableta de chocolate con leche libre de gluten","Tableta de chocolate con leche libre de gluten","16009610",""
"14","Mamuschka","Tronquito mousse de chocolate","Chocolate con leche relleno de mousse de chocolate con leche libre de gluten","16009632",""
"14","Mamuschka","Trufa Mamuschka split","Bombón de pasta de avellanas bañado en chocolate leche libre de gluten","16009620",""
"14","Mamuschka","Trufa Mamuschka split","Bombón trufa crema de banana y dulce de leche bañado en chocolate semiamargo libre de gluten","16009621",""
"14","Mamuschka","Trufa Mamuscream leche","Bombón de pasta de avellanas y pasta de almendras bañado en chocolate leche libre de gluten","16009619",""
"14","Mamuschka","Trufa Marroc","Bombón de pasta de avellanas bañado en chocolate blanco libre de gluten","16009618",""
"14","Rapa Nui","Bombones rellenos de praliné de almendras, avellanas, maní, maní y café libre de gluten","Bombón de chocolate con leche relleno con praliné de almendras, avellanas, maní, maní y café libre de gluten","16009710",""
"14","Rapa Nui","Fondue de chocolate libre de gluten","Chocolate leche fundente libre de gluten","16009717",""
"14","Rapa Nui","Franui black libre de gluten","Frambuesa congelada IQF bañada en chocolate blanco y chocolate semiamargo libre de gluten","16008708",""
"14","Rapa Nui","Franui libre de gluten","Frambuesas congeladas IQF bañadas en chocolate blanco y chocolate leche libre de gluten","16008707",""
"14","Rapa Nui","Guinda Nui libre de gluten","Guinda congelada bañada en chocolate blanco y chocolate con leche libre de gluten","16009714",""
"14","Rapa Nui","Huevo de nucciola","Figura de chocolate con leche relleno con pasta de avellanas libre de gluten","16009711",""
"14","Rapa Nui","Medallón chocolate blanco con almendras libre de gluten","Chocolate blanco con almendras libre de gluten","16009707",""
"27","Arcor","Salsa lista con verdeo","Salsa italiana con cebolla de verdeo libre de gluten","18006376",""
"27","Arcor","Tomates cubeteados","Tomates pelados peritas cubeteados libre de gluten","18001009",""
"27","Arcor","Tomates peritas","Tomates pelados peritas enteros comunes libre de gluten","18001710",""
"27","La Campagnola","Salsati - Cubitos + Puré","Tomates pelados cubeteados con agregado de puré de tomate libre de gluten","18007863",""
"27","La Campagnola","Salsati - Perita + Puré","Tomates pelados peritas enteros comunes con agregado de puré de tomate libre de gluten","18007862",""
"27","La Campagnola","Tomates pelados peritas","Tomates pelados peritas enteros comunes libre de gluten","18007864",""
"27","La Campagnola ","Cubeteado","Tomates pelados cubeteados libres de gluten ","18008669",""
"27","Noel","No registra","Tomates pelados peritas enteros comunes libre de gluten","18002748",""
"27","Noel","No registra","Puré de tomates libre de gluten","18002751",""
"27","Noel","No registra","Pulpa de tomate libre de gluten","18006135",""
"27","Noel","No registra","Pulpa de tomate con azúcares agregados libre de gluten","18008102",""
"51","Arcor","Basílico con albahaca salsa lista","Salsa a base de tomate y cebolla con albahaca libre de gluten ","18006375",""
"51","Arcor","Filetto salsa lista","Salsa filetto libre de gluten","18002190",""
"51","Arcor","Napolitana salsa lista","Salsa napolitana libre de gluten","18001017",""
"51","Arcor","Pizza salsa lista","Salsa pizza libre de gluten","18002602",""
"51","Arcor","Pomarola salsa lista","Salsa pomarola libre de gluten","18001015",""
"51","Arcor","Portuguesa salsa lista","Salsa portuguesa libre de gluten","18001019",""
"51","Arcor","Tuco salsa lista","Salsa tuco sin carne libre de gluten","18003979",""
"51","La Campagnola","Salsati - Con ajo y cebolla salsa lista","Salsa a base de tomate con ajo y cebolla libre de gluten","18007791",""
"51","La Campagnola","Salsati - Con albahaca, salsa lista","Salsa a base de tomate con albahaca libre de gluten","18007783",""
"51","La Campagnola","Salsati - Filetto","Salsa filetto libre de gluten ","18007786",""
"51","La Campagnola","Salsati - Light pomarola","Salsa pomarola light libre de gluten","18007793",""
"51","La Campagnola","Salsati - Light portuguesa","Salsa portuguesa light libre de gluten","18008004",""
"51","La Campagnola","Salsati - Pomarola salsa lista","Salsa pomarola libre de gluten","18007790",""
"51","La Campagnola","Salsati - Portuguesa salsa lista","Salsa portuguesa libre de gluten","18007784",""
"51","La Campagnola ","Ketchup hot - Picante","Ketchup libre de gluten","18008509",""
"51","La Campagnola ","No registra","Ketchup Libre de gluten ","18008510",""
"51","La Campagnola ","Pizza salsa  lista","Salsa pizza libre de gluten","18007789",""
"51","Noel","Salsa filetto libre de gluten","Salsa filetto libre de gluten","18003980",""
"51","Noel","Salsa napolitana libre de gluten","Salsa napolitana libre de gluten","18007000",""
"51","Noel","Salsa para pizza libre de gluten","Salsa para pizza libre de gluten","18004801",""
"51","Noel","Salsa pomarola libre de gluten","Salsa pomarola libre de gluten","18002750",""
"51","Noel","Salsa portuguesa libre de gluten","Salsa portuguesa libre de gluten","18002749",""
"51","Noel","Salsa tuco sin carne libre de gluten","Salsa tuco sin carne libre de gluten","18006999",""
"2","Glucovil","Almidón de maíz baja humedad uso alimenticio libre de gluten","Almidón libre de gluten","19010456",""
"4","Tío Yaco","Alfajor de chocolate con baño de chocolate","Alfajor sabor chocolate aromatizado con esencia de chocolate con relleno de dulce de leche recubierto con baño de repostería sabor chocolate- Libre de gluten. Sin TACC","19010289",""
"4","Tío Yaco","Alfajor de vainilla con dulce de leche","Alfajor sabor a vainilla aromatizado con esencia de vainilla con relleno de dulce de leche libre de gluten sin TACC","19010268",""
"43","Tío Yaco","Pan de viena","Pan de Viena sobrecongelado - Libre de gluten. Sin TACC","19010244",""
"43","Tío Yaco","Pan dulce","Pan dulce - Libre de gluten -sin TACC, materia grasa 3,91%","19010291",""
"43","Tío Yaco","Pizzeta","Pizza con tomate sobrecongelada libre de gluten Sin TACC","19010287",""
"43","Tío Yaco","Tapas para empanadas","Tapas para empanadas libre de gluten sin TACC","19010236",""
"43","Tío Yaco ","Pan rallado Tío Yaco","Pan rallado libre de gluten -Sin TACC","19010642",""
"44","Tío Yaco","Fideos al huevo","Pastas frescas con huevo sobrecongelados - Libre de gluten sin TACC","19010452",""
"44","Tío Yaco","Ñoquis de papa","Pastas frescas sobrecongeladas tipo  ñoquis - Libre de gluten - Sin TACC","19010451",""
"44","Tío Yaco","Ravioles 4 quesos","Pasta fresca rellena sobrecongelada: ravioles. Libre de gluten - sin TACC","19010647",""
"44","Tío Yaco","Ravioles de pollo-espinaca","Pastas frescas rellenas sobrecongeladas: ravioles - Libre de gluten. Sin TACC","19010233",""
"44","Tío Yaco","Ravioles de pollo y ricota","Pasta fresca rellena sobre congelada: ravioles libre de gluten sin TACC","19010252",""
"44","Tío Yaco","Ravioles de ricotta","Pastas frescas rellenas sobrecongelados: ravioles libre de gluten sin T.A.C.C.","19010222",""
"44","Tío Yaco","Sorrentinos de jamón y queso","Pasta fresca rellena sobrecongelada: sorrentinos libre de gluten sin T.A.C.C.","19010232",""
"47","Royal","Postre sabor a dulce de leche","Polvo para preparar postre dietético de bajo valor glucídico sabor a dulce de leche. Aromatizado artificialmente. Libre de gluten sin TACC","19010539",""
"47","Tío Yaco","Budín marmolado","Budín sabor a vainilla y chocolate aromatizado con esencia de chocolate y vainilla - Sin TACC - Libre de gluten","19010266",""
"47","Tío Yaco","Pasta frola de membrillo","Torta dulce con cobertura de dulce de membrillo - Sin TACC - Libre de gluten","19010288",""
"47","Tío Yaco ","Budín de vainilla","Budín sabor a vainilla - Sin TACC - Libre de gluten","19010247",""
"48","Royal","Gelatina Manjares Light frutos rojos","Polvo para preparar postre de gelatina dietético de bajo contenido calórico sabor a frutilla y frambuesa. Libre de gluten sin TACC. Aromatizada artificialmente","19010411",""
"48","Royal","Gelatina Manjares Light sabor durazno","Polvo para preparar postre de gelatina dietético de bajo contenido calórico sabor a durazno. Libre de gluten sin TACC. Aromatizado artificialmente","19010412",""
"48","Royal","Gelatina sabor a cereza","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a cereza. Libre de gluten sin TACC. Aromatizada artificialmente","19010507",""
"48","Royal","Gelatina sabor a durazno","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a durazno. Libre de gluten. Sin TACC aromatizado artificialmente","19010608",""
"48","Royal","Gelatina sabor a manzana","Polvo para preparar postre de gelatina de bajo valor glucídico sabor a manzana. Libre de gluten sin TACC. Aromatizada artificialmente.","19010511",""
"48","Royal","Gelatina sabor frambuesa","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a frambuesa. Libre de gluten sin TACC. Aromatizado artificialmente","19010543",""
"48","Royal","Gelatina sabor frutilla","Polvo para preparar postre de gelatina dietética de bajo valor glucídico sabor a frutilla. Libre de gluten sin TACC. Aromatizado artificialmente","19010542",""
"48","Royal","Gelatina sabor naranja","Polvo para preparar postre de gelatina dietético de bajo valor glucídico sabor a naranja. Libre de gluten. Sin TACC. Aromatizado artificialmente","19010576",""
"48","Royal","Mousse","Polvo para preparar postre tipo mousse dietético de sabor a chocolate 38 % reducido en calorías. Aromatizado artificialmente. Libre de gluten sin T.A.C.C.","19010173",""
"48","Royal","Mousse sabor a dulce de leche","Polvo para preparar postre tipo mousse dietético sabor a dulce de leche 41% reducido en calorías aromatizado artificialmente. Libre de gluten. Sin TACC","19010636",""
"48","Royal","Mousse sabor a durazno","Polvo para preparar postre tipo mousse dietético sabor a durazno, 35% reducido en azúcares aromatizado artificialmente.Libre de gluten sin TACC","19010609",""
"48","Royal","Postre","Polvo para preparar postre dietético de bajo valor glucídico sabor a frutilla aromatizado artificialmente. Libre de gluten - Sin TACC","19010279",""
"48","Royal","Postre light 58 % reducido en calorías sabor chocolate","Polvo para preparar postre dietético sabor a chocolate 58 % reducido en calorías. Libre de gluten. Sin TACC","19007603",""
"48","Royal","Postre","Polvo para preparar postre dietético sabor dulce de leche 59% reducido en calorías aromatizado artificialmente libre de gluten sin TACC","19010577",""
"48","Royal","Postre light 58% reducido en calorías sabor a cappuccino","Polvo para preparar postre dietético sabor a cappuccino 58% reducido en calorías, aromatizado artificialmente. Libre de gluten sin TACC","19010587",""
"48","Royal","Postre sabor a chocolate","Polvo para preparar postre dietético de bajo valor glucídico sabor a chocolate libre de gluten sin TACC","19010212",""
"48","Royal","Postre sabor vainlla","Polvo para preparar postre dietético de bajo valoror glucídico sabor a vainilla. Aromatizado artificialmente. Libre de gluten sin T.A.C.C.","19010281",""
"48","Royal ","Flan sabor a vainilla","Polvo para preparar flan sin huevo dietético sabor a vainilla 50% reducido en calorías. Libre de gluten. Sin TACC. Aromatizado artificialmente","19007601",""
